"Experiment","Run","Correlation","RMSE","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P2",28,0.825016896497512,6.65168453813219,3.46406823652948,-969.730567156243,0.563300449108455,18,NA,"x10","x1","x11",2.31745982126432,1.32513977624429,0.987465874566511
"P3",28,0.819955428574658,6.80532861871259,3.56729780013841,-964.245440224667,0.542893223454744,13,NA,"x12","x13","x7",2.26357070747977,1.49275074000201,1.38311968951544
"P4",28,0.811892123719182,6.83237939352817,3.72681970856008,-974.692450593613,0.53925205682629,16,NA,"x13","x10","x1",2.47758056405964,1.0502195789239,1.0291130915837
"P5",28,0.901124568781753,4.36930453574727,2.68813475206571,-978.031124423033,0.811572585927048,20,NA,"x9","x10","x11",1.16605522157854,1.15772968531655,1.13341747875947
"P6",28,0.803232689134742,6.99342721381978,3.84549382757979,-973.712806565141,0.517275240133301,7,NA,"x1","x11","x13",1.00021756386821,0.99996849683874,0.997439322788176
"P1",29,0.846460117542303,6.2697422793144,3.22721277380546,-961.227467620933,0.612011515936666,19,NA,"x12","x10","x1",1.95149777306694,1.62222817735739,1.54520857138701
"P2",29,0.838318848038423,6.58229231483374,3.43863455000545,-960.845592688989,0.572364464406025,13,NA,"x1","x6","x8",1.98729219160182,1.0369151763301,1.0090410526785
"P3",29,0.820703398332365,7.26080761369264,3.59467155362826,-963.581455699825,0.479657479865361,14,NA,"x5","x1","x10",1.98544606939574,1.76492255408518,1.6478216798763
"P4",29,0.892500683827467,4.55386448984413,2.82842084391112,-974.213101864299,0.795317994788396,10,NA,"x12","x1","x9",1.43688447105192,1.35167808612308,1.00145596282686
"P5",29,0.863813252387728,5.50117889760364,3.11804438537664,-968.510264416399,0.701302908653543,12,NA,"x10","x13","x1",1.64566166825605,1.44254611946948,0.999997218717342
"P6",29,0.838424915038629,6.30528763664591,3.42089778528933,-970.778378486058,0.607599761123377,11,NA,"x5","x6","x10",1.25466129859292,0.999999999977461,0.999999996553625
"P1",30,0.829068641101011,6.91872194332314,3.4775776693759,-967.523168549312,0.527533292803838,14,NA,"x11","x1","x8",1.38031750298904,1.32398915179756,1.28308500375874
"P2",30,0.879053013982191,4.88899802684978,2.93387965629406,-971.914910833225,0.764083030515631,16,NA,"x9","x8","x12",1.51660400863377,1.49303334851017,1.11601854623554
"P3",30,0.796243050504295,8.05405391044456,3.63673199916441,-974.937713433617,0.359751571254743,13,NA,"x5","x9","x1",1.43915447844181,1.41720130911488,1.40969068837554
"P4",30,0.896312473646646,4.46537273585731,2.7859599755307,-977.193202221116,0.803195561143698,15,NA,"x6","x11","x10",1.73472830003181,1.71789489230222,1.66611379780501
"P5",30,0.87433971636937,5.03027663355624,2.96853301114956,-968.083760340487,0.750251323666343,13,NA,"x12","x9","x5",1.70425378532899,1.54659953470472,1.28689886740281
"P6",30,0.810847841348872,7.08466727214693,3.68681757563515,-971.232170320822,0.504597294452074,12,NA,"x9","x1","x6",1.45285302347669,1.00000018040079,0.999999913056877
